0 18094.4545455
100 17991.8636364
200 17889.8181818
300 17820.5909091
400 17742.1818182
500 17657.0909091
600 17594.5454545
700 17557.3181818
800 17512.8636364
900 17492.0
1000 17476.3181818
1100 17443.0909091
1200 17399.5
1300 17385.3181818
1400 17362.0909091
1500 17352.9090909
1600 17337.5454545
1700 17328.5
1800 17316.1363636
1900 17306.0
2000 17303.1818182
2100 17301.9545455
2200 17285.0909091
2300 17272.1363636
2400 17258.2727273
2500 17254.2272727
2600 17247.0
2700 17240.6363636
2800 17236.5
2900 17235.9545455
3000 17234.2727273
3100 17227.2272727
3200 17225.7727273
3300 17219.6363636
3400 17204.5
3500 17192.5909091
3600 17191.8181818
3700 17188.4545455
3800 17188.4545455
3900 17183.5454545
4000 17181.3181818
4100 17181.3181818
4200 17180.4090909
4300 17179.9545455
4400 17169.2727273
4500 17163.7272727
4600 17161.1818182
4700 17149.7727273
4800 17144.1818182
4900 17142.2272727
