0 18328.3870968
100 18182.5483871
200 18069.483871
300 18016.2580645
400 17904.7096774
500 17846.6129032
600 17790.8709677
700 17754.8387097
800 17707.4193548
900 17657.5483871
1000 17621.3870968
1100 17596.3225806
1200 17566.3548387
1300 17550.3870968
1400 17533.1935484
1500 17519.6774194
1600 17495.4193548
1700 17490.6129032
1800 17487.0322581
1900 17452.9354839
2000 17448.6451613
2100 17436.516129
2200 17424.4516129
2300 17422.0967742
2400 17412.1290323
2500 17405.3225806
2600 17399.7096774
2700 17396.9032258
2800 17389.1612903
2900 17373.8709677
3000 17365.2258065
3100 17362.9354839
3200 17352.2903226
3300 17347.5806452
3400 17340.0645161
3500 17337.7096774
3600 17330.3225806
3700 17328.6451613
3800 17323.9032258
3900 17323.9032258
4000 17323.9032258
4100 17321.516129
4200 17313.4193548
4300 17305.7096774
4400 17302.8709677
4500 17289.8387097
4600 17289.8387097
4700 17279.3225806
4800 17279.3225806
4900 17268.1935484
